sector_id,scenario,rank,title,category,score_delta,from_score,to_score,suggested_lat,suggested_lng
21001A53-,remote,1,+1 coworking space within 550m,coworking,16,75,91,50.828968,4.286629
21001A53-,remote,2,+1 library within 550m,library,4,75,79,50.83282,4.301352
21001A53-,remote,3,+1 café within 400m,cafe,3,75,78,50.827573,4.296168
21001A53-,senior,1,+1 supermarket within 300m,supermarket,6,76,82,50.828191,4.293991
21001A53-,senior,2,+1 local shop within 200m,convenience,6,76,82,50.829747,4.292175
21001A53-,senior,3,+1 café within 300m,cafe,5,76,81,50.828397,4.295628
21001A552,family,1,+1 supermarket within 400m,supermarket,10,69,79,50.817128,4.288589
21001A552,family,2,+1 childcare centre within 400m,childcare,9,69,78,50.81818,4.292613
21001A552,family,3,+1 playground within 250m,playground,6,69,75,50.822715,4.289896
21001A552,remote,1,+1 coworking space within 550m,coworking,20,58,78,50.818796,4.28123
21001A552,remote,2,+1 supermarket within 400m,supermarket,10,58,68,50.817128,4.288589
21001A552,remote,3,+1 café within 400m,cafe,5,58,63,50.817401,4.290767
21001A552,senior,1,+1 supermarket within 300m,supermarket,12,46,58,50.818019,4.288589
21001A552,senior,2,+1 transit stop within 250m,transit,10,46,56,50.820722,4.285167
21001A552,senior,3,+1 GP / doctor within 300m,gp,9,46,55,50.822633,4.291615
21001A712,family,1,+1 childcare centre within 400m,childcare,10,83,93,50.844676,4.319512
21001A712,remote,1,+1 coworking space within 550m,coworking,19,71,90,50.845292,4.308123
21001A712,remote,2,+1 library within 550m,library,7,71,78,50.849143,4.32285
21001A712,senior,1,+1 GP / doctor within 300m,gp,10,71,81,50.849129,4.318513
21001A712,senior,2,+1 transit stop within 250m,transit,9,71,80,50.847218,4.312062
21001A712,senior,3,+1 library within 400m,library,5,71,76,50.848666,4.321023
21001A72-,family,1,+1 childcare centre within 400m,childcare,10,67,77,50.845987,4.311377
21001A72-,family,2,+1 supermarket within 400m,supermarket,8,67,75,50.844935,4.307351
21001A72-,family,3,+1 playground within 250m,playground,5,67,72,50.850522,4.308658
21001A72-,remote,1,+1 coworking space within 550m,coworking,20,60,80,50.846603,4.299987
21001A72-,remote,2,+1 supermarket within 400m,supermarket,8,60,68,50.844935,4.307351
21001A72-,remote,3,+1 library within 550m,library,7,60,67,50.850455,4.314715
21001A72-,senior,1,+1 supermarket within 300m,supermarket,12,66,78,50.845827,4.307351
21001A72-,senior,2,+1 hospital within 0m,hospital,7,66,73,50.848529,4.307351
21001A72-,senior,3,+1 library within 400m,library,5,66,71,50.849977,4.312888
21001A732,family,1,+1 childcare centre within 400m,childcare,5,84,89,50.841257,4.302535
