sector_id,scenario,score,percentile,breakdown
21001A34-,family,0.755424,30.9,"{""school"": 1.0, ""childcare"": 0.0282, ""supermarket"": 0.0816, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.671, ""hospital"": 0.1673, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.9678, ""sport"": 1.0}"
21001A34-,remote,0.762296,55.0,"{""supermarket"": 0.0816, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.671, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 0.9678, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.3658}"
21001A34-,senior,0.581521,36.8,"{""supermarket"": 0.0, ""convenience"": 1.0, ""gp"": 0.2404, ""hospital"": 0.0424, ""park"": 0.9981, ""library"": 0.6791, ""transit"": 0.9967, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A350,family,0.644962,16.4,"{""school"": 1.0, ""childcare"": 0.0, ""supermarket"": 0.0, ""pharmacy"": 0.5793, ""convenience"": 1.0, ""gp"": 0.0692, ""hospital"": 0.064, ""park"": 1.0, ""playground"": 0.8809, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A350,remote,0.662141,34.0,"{""supermarket"": 0.0, ""pharmacy"": 0.5793, ""convenience"": 1.0, ""gp"": 0.0692, ""park"": 1.0, ""playground"": 0.8809, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.2145}"
21001A350,senior,0.508662,27.0,"{""supermarket"": 0.0, ""convenience"": 0.6444, ""gp"": 0.0, ""hospital"": 0.0, ""park"": 1.0, ""library"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A37-,family,0.442894,6.1,"{""school"": 0.8802, ""childcare"": 0.0, ""supermarket"": 0.7788, ""pharmacy"": 0.0125, ""convenience"": 0.2864, ""gp"": 0.1371, ""hospital"": 0.0, ""park"": 1.0, ""playground"": 0.0, ""transit"": 0.1075, ""cafe"": 0.0277, ""restaurant"": 1.0, ""library"": 0.0874, ""sport"": 1.0}"
21001A37-,remote,0.337377,4.2,"{""supermarket"": 0.7788, ""pharmacy"": 0.0125, ""convenience"": 0.2864, ""gp"": 0.1371, ""park"": 1.0, ""playground"": 0.0, ""transit"": 0.1075, ""cafe"": 0.0277, ""library"": 0.0874, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0}"
21001A37-,senior,0.239674,6.3,"{""supermarket"": 0.3541, ""convenience"": 0.0514, ""gp"": 0.0, ""hospital"": 0.0, ""park"": 0.9212, ""library"": 0.0, ""transit"": 0.0117, ""cafe"": 0.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A3MJ,family,0.549012,10.2,"{""school"": 1.0, ""childcare"": 0.0, ""supermarket"": 0.0, ""pharmacy"": 0.2164, ""convenience"": 0.0914, ""gp"": 0.1952, ""hospital"": 0.0366, ""park"": 1.0, ""playground"": 0.222, ""transit"": 1.0, ""cafe"": 0.6722, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A3MJ,remote,0.523455,14.3,"{""supermarket"": 0.0, ""pharmacy"": 0.2164, ""convenience"": 0.0914, ""gp"": 0.1952, ""park"": 1.0, ""playground"": 0.222, ""transit"": 1.0, ""cafe"": 0.6722, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0157}"
21001A3MJ,senior,0.436074,18.4,"{""supermarket"": 0.0, ""convenience"": 0.0, ""gp"": 0.0148, ""hospital"": 0.0, ""park"": 1.0, ""library"": 1.0, ""transit"": 1.0, ""cafe"": 0.2417, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A401,family,0.939595,85.8,"{""school"": 1.0, ""childcare"": 1.0, ""supermarket"": 0.9908, ""pharmacy"": 0.7921, ""convenience"": 0.5386, ""gp"": 1.0, ""hospital"": 0.794, ""park"": 1.0, ""playground"": 0.9993, ""transit"": 1.0, ""cafe"": 0.7877, ""restaurant"": 1.0, ""library"": 0.2288, ""sport"": 1.0}"
21001A401,remote,0.722304,45.2,"{""supermarket"": 0.9908, ""pharmacy"": 0.7921, ""convenience"": 0.5386, ""gp"": 1.0, ""park"": 1.0, ""playground"": 0.9993, ""transit"": 1.0, ""cafe"": 0.7877, ""library"": 0.2288, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.1516}"
21001A401,senior,0.774801,66.6,"{""supermarket"": 0.7937, ""convenience"": 0.0726, ""gp"": 1.0, ""hospital"": 0.6651, ""park"": 1.0, ""library"": 0.0186, ""transit"": 1.0, ""cafe"": 0.1939, ""restaurant"": 0.4274, ""sport"": 1.0}"
21001A41-,family,0.943104,86.7,"{""school"": 1.0, ""childcare"": 0.8927, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.9927, ""park"": 1.0, ""playground"": 0.9453, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 0.2596, ""library"": 0.1078, ""sport"": 1.0}"
21001A41-,remote,0.696821,40.5,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""park"": 1.0, ""playground"": 0.9453, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 0.1078, ""restaurant"": 0.2596, ""sport"": 1.0, ""coworking"": 0.0}"
21001A41-,senior,0.894641,87.2,"{""supermarket"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.9871, ""park"": 0.9706, ""library"": 0.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 0.0, ""sport"": 0.9722}"
21001A42-,family,0.878664,62.5,"{""school"": 1.0, ""childcare"": 0.3814, ""supermarket"": 0.5424, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.9335, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.6094, ""sport"": 1.0}"
21001A42-,remote,0.722989,45.5,"{""supermarket"": 0.5424, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 0.6094, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0}"
21001A42-,senior,0.836805,76.9,"{""supermarket"": 0.1433, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.8854, ""park"": 0.8993, ""library"": 0.1769, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
